well_id|county|spud_date|completion_date
12226|County 5|2013-08-25|2013-10-20
12227|County 6|2012-01-11|2012-04-25
12228|County 9|2014-10-12|2015-03-06
12229|County 7|2011-08-24|2011-10-29
12230|County 7|2012-02-06|2012-05-11
12231|County 9|2014-10-04|2015-03-13
12232|County 1|2013-09-28|2014-05-28
12233|County 9|2018-06-16|2018-10-14
12234|County 1|2011-03-20|2011-06-13
12235|County 6|2010-11-17|2011-09-22
12236|County 9|2015-02-23|2015-09-03
12237|County 1|2012-08-19|2012-11-30
12238|County 1|2013-05-30|2013-11-22
12239|County 8|2021-10-05|2022-03-17
12240|County 1|2011-11-15|2012-03-09
12241|County 8|2021-07-09|2022-02-20
12242|County 6|2014-08-22|2014-11-27
12243|County 1|2014-08-30|2016-07-25
12244|County 9|2011-08-22|2012-06-12
12245|County 3|2014-05-24|2014-07-29
12246|County 9|2012-10-10|2013-02-27
12247|County 8|2010-07-10|2011-07-06
12248|County 6|2015-03-29|2015-08-07
12249|County 1|2009-11-19|2010-02-23
12250|County 8|2019-11-09|2021-01-30
